Name,Number,Type 1,Type 2,HP,Attack,Defense,SP Attack,SP Defense,Speed,Total
Roggenrola,524,Rock,,55,75,85,25,25,15,280
Zebstrika,523,Electric,,75,100,63,80,63,116,497
Blitzle,522,Electric,,45,60,32,50,32,76,295
Unfezant,521,Normal,Flying,80,115,80,65,55,93,488
Tranquill,520,Normal,Flying,62,77,62,50,42,65,358
Pidove,519,Normal,Flying,50,55,50,36,30,43,264
Musharna,518,Psychic,,116,55,85,107,95,29,487
Munna,517,Psychic,,76,25,45,67,55,24,292
Simipour,516,Water,,75,98,63,98,63,101,498
Pansage,511,Grass,,50,53,48,53,48,64,316
Liepard,510,Dark,,64,88,50,88,50,106,446
Purrloin,509,Dark,,41,50,37,50,37,66,281
Stoutland,508,Normal,,85,110,90,45,90,80,500
Herdier,507,Normal,,65,80,65,35,65,60,370
Lillipup,506,Normal,,45,60,45,25,45,55,275
Watchog,505,Normal,,60,85,69,60,69,77,420
Patrat,504,Normal,,45,55,39,35,39,42,255
Pignite,499,Fire,Fighting,90,93,55,70,55,55,418
Tepig,498,Fire,,65,63,45,45,45,45,308
Serperior,497,Grass,,75,75,95,75,95,113,528
Servine,496,Grass,,60,60,75,60,75,83,413
Samurott,503,Water,,95,100,85,108,70,70,528
Snivy,495,Grass,,45,45,55,45,55,63,308
Arceus,493,Normal,,120,120,120,120,120,120,720
Shaymin,492,Grass,,100,100,100,100,100,100,600
Darkrai,491,Dark,,70,90,90,135,90,125,600
Manaphy,490,Water,,100,100,100,100,100,100,600
Victini,494,Psychic,Fire,100,100,100,100,100,100,600
Phione,489,Water,,80,80,80,80,80,80,480
Cresselia,488,Psychic,,120,70,120,75,130,85,600
Giratina,487,Ghost,Dragon,150,100,120,100,120,90,680
Mesprit,481,Psychic,,80,105,105,105,105,80,580
Uxie,480,Psychic,,75,75,130,75,130,95,580
Rotom,479,Electric,Ghost,50,50,77,95,77,91,440
Froslass,478,Ice,Ghost,70,80,70,80,70,110,480
Dusknoir,477,Ghost,,45,100,135,65,135,45,525
Probopass,476,Rock,Steel,60,55,145,75,150,40,525
Gallade,475,Psychic,Fighting,68,125,65,65,115,80,518
Mamoswine,473,Ice,Ground,110,130,80,70,60,80,530
Gliscor,472,Ground,Flying,75,95,125,45,75,95,510
Porygon-Z,474,Normal,,85,80,70,135,75,90,535
Glaceon,471,Ice,,65,60,110,130,95,65,525
Leafeon,470,Grass,,65,110,130,60,65,95,525
Yanmega,469,Bug,Flying,86,76,86,116,56,95,515
Togekiss,468,Fairy,Flying,85,50,95,120,115,80,545
Magmortar,467,Fire,,75,95,67,125,95,83,540
Lickilicky,463,Normal,,110,85,95,80,95,50,515
Magnezone,462,Electric,Steel,70,70,115,130,90,60,535
Weavile,461,Dark,Ice,70,120,65,45,85,125,510
Abomasnow,460,Grass,Ice,90,92,75,92,85,60,494
Snover,459,Grass,Ice,60,62,50,62,60,40,334
Lumineon,457,Water,,69,69,76,69,86,91,460
Electivire,466,Electric,,75,123,67,95,85,95,540
Mantyke,458,Water,Flying,45,20,50,60,120,50,345
Finneon,456,Water,,49,49,56,49,61,66,330
Carnivine,455,Grass,,74,100,72,90,72,46,454
Croagunk,453,Poison,Fighting,48,61,40,61,40,50,300
Drapion,452,Poison,Dark,70,90,110,60,75,95,500
Toxicroak,454,Poison,Fighting,83,106,65,86,65,85,490
Hippowdon,450,Ground,,108,112,118,68,72,47,525
Hippopotas,449,Ground,,68,72,78,38,42,32,330
Skorupi,451,Poison,Bug,40,50,90,30,55,65,330
Lucario,448,Fighting,Steel,70,110,70,115,70,90,525
Riolu,447,Fighting,,40,70,40,35,40,60,285
Happiny,440,Normal,,100,5,5,15,65,30,220
Mime Jr.,439,Psychic,Fairy,20,25,45,70,90,60,310
Bonsly,438,Rock,,50,80,95,10,45,10,290
Bronzong,437,Steel,Psychic,67,89,116,79,116,33,500
Bronzor,436,Steel,Psychic,57,24,86,24,86,23,300
Skuntank,435,Poison,Dark,103,93,67,71,61,84,479
Stunky,434,Poison,Dark,63,63,47,41,41,74,329
Chingling,433,Psychic,,45,30,50,65,50,45,285
Purugly,432,Normal,,71,82,64,64,59,112,452
Glameow,431,Normal,,49,55,42,42,37,85,310
Honchkrow,430,Dark,Flying,100,125,52,105,52,71,505
Mismagius,429,Ghost,,60,60,60,105,105,105,495
Lopunny,428,Normal,,65,76,84,54,96,105,480
Buneary,427,Normal,,55,66,44,44,56,85,350
Drifloon,425,Ghost,Flying,90,50,34,60,44,70,348
Ambipom,424,Normal,,75,100,66,60,66,115,482
Cherrim,421,Grass,,70,60,70,87,78,85,450
Drifblim,426,Ghost,Flying,150,80,44,90,54,80,498
Cherubi,420,Grass,,45,35,45,62,53,35,275
Floatzel,419,Water,,85,105,55,85,50,115,495
Buizel,418,Water,,55,65,35,60,30,85,330
Pachirisu,417,Electric,,60,45,70,45,90,95,405
Vespiquen,416,Bug,Flying,70,80,102,80,102,40,474
Combee,415,Bug,Flying,30,30,42,30,42,70,244
Wormadam,413,Bug,Grass,60,59,85,79,105,36,424
Burmy,412,Bug,,40,29,45,29,45,36,224
Mothim,414,Bug,Flying,70,94,50,94,50,66,424
Bastiodon,411,Rock,Steel,60,52,168,47,138,30,495
Shieldon,410,Rock,Steel,30,42,118,42,88,30,350
Shinx,403,Electric,,45,65,34,40,34,45,263
Kricketune,402,Bug,,77,85,51,55,51,65,384
Kricketot,401,Bug,,37,25,41,25,41,25,194
Bibarel,400,Normal,Water,79,85,60,55,60,71,410
Bidoof,399,Normal,,59,45,40,35,40,31,250
Staraptor,398,Normal,Flying,85,120,70,50,60,100,485
Staravia,397,Normal,Flying,55,75,50,40,40,80,340
Starly,396,Normal,Flying,40,55,30,30,30,60,245
Empoleon,395,Water,Steel,84,86,88,111,101,60,530
Prinplup,394,Water,,64,66,68,81,76,50,405
Piplup,393,Water,,53,51,53,61,56,40,314
Infernape,392,Fire,Fighting,76,104,71,104,71,108,534
Torterra,389,Grass,Ground,95,109,105,75,85,56,525
Grotle,388,Grass,,75,89,85,55,65,36,405
Turtwig,387,Grass,,55,68,64,45,55,31,318
Deoxys,386,Psychic,,50,150,50,150,50,150,600
Jirachi,385,Steel,Psychic,100,100,100,100,100,100,600
Rayquaza,384,Dragon,Flying,105,150,90,150,90,95,680
Groudon,383,Ground,,100,150,140,100,90,90,670
Kyogre,382,Water,,100,100,90,150,140,90,670
Latios,381,Dragon,Psychic,80,90,80,130,110,110,600
Latias,380,Dragon,Psychic,80,80,90,110,130,110,600
Registeel,379,Steel,,80,75,150,75,150,50,580
Beldum,374,Steel,Psychic,40,55,80,35,60,30,300
Salamence,373,Dragon,Flying,95,135,80,110,80,100,600
Shelgon,372,Dragon,,65,95,100,60,50,50,420
Bagon,371,Dragon,,45,75,60,40,30,50,300
Luvdisc,370,Water,,43,30,55,40,65,97,330
Relicanth,369,Water,Rock,100,90,130,45,65,55,485
Gorebyss,368,Water,,55,84,105,114,75,52,485
Huntail,367,Water,,55,104,105,94,75,52,485
Clamperl,366,Water,,35,64,85,74,55,32,345
Walrein,365,Ice,Water,110,80,90,95,90,65,530
Sealeo,364,Ice,Water,90,60,70,75,70,45,410
Spheal,363,Ice,Water,70,40,50,55,50,25,290
Glalie,362,Ice,,80,80,80,80,80,80,480
Snorunt,361,Ice,,50,50,50,50,50,50,300
Dusclops,356,Ghost,,40,70,130,60,130,25,455
Duskull,355,Ghost,,20,40,90,30,90,25,295
Banette,354,Ghost,,64,115,65,83,63,65,455
Shuppet,353,Ghost,,44,75,35,63,33,45,295
Kecleon,352,Normal,,60,90,70,60,120,40,440
Castform,351,Normal,,70,70,70,70,70,70,420
Milotic,350,Water,,95,60,79,100,125,81,540
Feebas,349,Water,,20,15,20,10,55,80,200
Armaldo,348,Rock,Bug,75,125,100,70,80,45,495
Anorith,347,Rock,Bug,45,95,50,40,50,75,355
Cradily,346,Rock,Grass,86,81,97,81,107,43,495
Lileep,345,Rock,Grass,66,41,77,61,87,23,355
Whiscash,340,Water,Ground,110,78,73,76,71,60,468
Barboach,339,Water,Ground,50,48,43,46,41,60,288
Solrock,338,Rock,Psychic,90,95,85,55,65,70,460
Lunatone,337,Rock,Psychic,90,55,65,95,85,70,460
Seviper,336,Poison,,73,100,60,100,60,65,458
Zangoose,335,Normal,,73,115,60,60,60,90,458
Altaria,334,Dragon,Flying,75,70,90,70,105,80,490
Swablu,333,Normal,Flying,45,40,60,40,75,50,310
Cacturne,332,Grass,Dark,70,115,60,115,60,55,475
Cacnea,331,Grass,,50,85,40,85,40,35,335
Grumpig,326,Psychic,,80,45,65,90,110,80,470
Spoink,325,Psychic,,60,25,35,70,80,60,330
Torkoal,324,Fire,,70,85,140,85,70,20,470
Camerupt,323,Fire,Ground,70,100,70,105,75,40,460
Numel,322,Fire,Ground,60,60,40,65,45,35,305
Wailord,321,Water,,170,90,45,90,45,60,500
Wailmer,320,Water,,130,70,35,70,35,60,400
Sharpedo,319,Water,Dark,70,120,40,95,40,95,460
Carvanha,318,Water,Dark,45,90,20,65,20,65,305
Swalot,317,Poison,,100,73,83,73,83,55,467
Gulpin,316,Poison,,70,43,53,43,53,40,302
Roselia,315,Grass,Poison,50,60,45,100,80,65,400
Manectric,310,Electric,,70,75,60,105,60,105,475
Electrike,309,Electric,,40,45,40,65,40,65,295
Medicham,308,Fighting,Psychic,60,60,75,60,75,80,410
Meditite,307,Fighting,Psychic,30,40,55,40,55,60,280
Aggron,306,Steel,Rock,70,110,180,60,60,50,530
Lairon,305,Steel,Rock,60,90,140,50,50,40,430
Aron,304,Steel,Rock,50,70,100,40,40,30,330
Mawile,303,Steel,Fairy,50,85,85,55,55,50,380
Sableye,302,Dark,Ghost,50,75,75,65,65,50,380
Hariyama,297,Fighting,,144,120,60,40,60,50,474
Makuhita,296,Fighting,,72,60,30,20,30,25,237
Exploud,295,Normal,,104,91,63,91,73,68,490
Loudred,294,Normal,,84,71,43,71,43,48,360
Whismur,293,Normal,,64,51,23,51,23,28,240
Shedinja,292,Bug,Ghost,1,90,45,30,30,40,236
Ninjask,291,Bug,Flying,61,90,45,50,50,160,456
Nincada,290,Bug,Ground,31,45,90,30,30,40,266
Shroomish,285,Grass,,60,40,60,40,60,35,295
Masquerain,284,Bug,Flying,70,60,62,100,82,80,454
Surskit,283,Bug,Water,40,30,32,50,52,65,269
Gardevoir,282,Psychic,Fairy,68,65,65,125,115,80,518
Kirlia,281,Psychic,Fairy,38,35,35,65,55,50,278
Ralts,280,Psychic,Fairy,28,25,25,45,35,40,198
Pelipper,279,Water,Flying,60,50,100,95,70,65,440
Wingull,278,Water,Flying,40,30,30,55,30,85,270
Swellow,277,Normal,Flying,60,85,60,75,50,125,455
Taillow,276,Normal,Flying,40,55,30,30,30,85,270
Shiftry,275,Grass,Dark,90,100,60,90,60,80,480
Nuzleaf,274,Grass,Dark,70,70,40,60,40,60,340
Seedot,273,Grass,,40,40,50,30,30,30,220
Ludicolo,272,Water,Grass,80,70,70,90,100,70,480
Cascoon,268,Bug,,50,35,55,25,25,15,205
Beautifly,267,Bug,Flying,60,70,50,100,50,65,395
Silcoon,266,Bug,,50,35,55,25,25,15,205
Wurmple,265,Bug,,45,45,35,20,30,20,195
Linoone,264,Normal,,78,70,61,50,61,100,420
Zigzagoon,263,Normal,,38,30,41,30,41,60,240
Mightyena,262,Dark,,70,90,70,60,60,70,420
Poochyena,261,Dark,,35,55,35,30,30,35,220
Swampert,260,Water,Ground,100,110,90,85,90,60,535
Marshtomp,259,Water,Ground,70,85,70,60,70,50,405
Mudkip,258,Water,,50,70,50,50,50,40,310
Treecko,252,Grass,,40,45,35,65,55,70,310
Celebi,251,Psychic,Grass,100,100,100,100,100,100,600
Ho-oh,250,Fire,Flying,106,130,90,110,154,90,680
Lugia,249,Psychic,Flying,106,90,130,90,154,110,680
Tyranitar,248,Rock,Dark,100,134,110,95,100,61,600
Pupitar,247,Rock,Ground,70,84,70,65,70,51,410
Larvitar,246,Rock,Ground,50,64,50,45,50,41,300
Suicune,245,Water,,100,75,115,90,115,85,580
Magby,240,Fire,,45,75,37,70,55,83,365
Elekid,239,Electric,,45,63,37,65,55,95,360
Smoochum,238,Ice,Psychic,45,30,15,85,65,65,305
Hitmontop,237,Fighting,,50,95,95,35,110,70,455
Tyrogue,236,Fighting,,35,35,35,35,35,35,210
Smeargle,235,Normal,,55,20,35,20,45,75,250
Stantler,234,Normal,,73,95,62,85,65,85,465
Entei,244,Fire,,115,115,85,90,75,100,580
Porygon2,233,Normal,,85,80,90,105,95,60,515
Donphan,232,Ground,,90,120,120,60,60,50,500
Phanpy,231,Ground,,90,60,60,40,40,40,330
Kingdra,230,Water,Dragon,75,95,95,95,95,85,540
Houndoom,229,Dark,Fire,75,90,50,110,80,95,500
Octillery,224,Water,,75,105,75,105,75,45,480
Remoraid,223,Water,,35,65,35,65,35,65,300
Corsola,222,Water,Rock,65,55,95,65,95,35,410
Piloswine,221,Ice,Ground,100,100,80,60,60,50,450
Swinub,220,Ice,Ground,50,50,40,30,30,50,250
Magcargo,219,Fire,Rock,60,50,120,90,80,30,430
Slugma,218,Fire,,40,40,40,70,40,20,250
Teddiursa,216,Normal,,60,80,50,50,50,40,330
Sneasel,215,Dark,Ice,55,95,55,35,75,115,430
Heracross,214,Bug,Fighting,80,125,75,40,95,85,500
Shuckle,213,Bug,Rock,20,10,230,10,230,5,505
Ursaring,217,Normal,,90,130,75,75,75,55,500
Snubbull,209,Fairy,,60,80,50,40,40,30,300
Steelix,208,Steel,Ground,75,85,200,55,65,30,510
Gligar,207,Ground,Flying,65,75,105,35,65,85,430
Dunsparce,206,Normal,,100,70,70,65,65,45,415
Forretress,205,Bug,Steel,75,90,140,60,60,40,465
Pineco,204,Bug,,50,65,90,35,35,15,290
Girafarig,203,Normal,Psychic,70,80,65,90,65,85,455
Wobbuffet,202,Psychic,,190,33,58,33,58,33,405
Espeon,196,Psychic,,65,65,60,130,95,110,525
Quagsire,195,Water,Ground,95,85,85,65,65,35,430
Wooper,194,Water,Ground,55,45,45,25,25,15,210
Yanma,193,Bug,Flying,65,65,45,75,45,95,390
Sunflora,192,Grass,,75,75,55,105,85,30,425
Sunkern,191,Grass,,30,30,30,30,30,30,180
Aipom,190,Normal,,55,70,55,40,55,85,360
Jumpluff,189,Grass,Flying,75,55,70,55,95,110,460
Skiploom,188,Grass,Flying,55,45,50,45,65,80,340
Hoppip,187,Grass,Flying,35,35,40,35,55,50,250
Politoed,186,Water,,90,75,75,90,100,70,500
Bellossom,182,Grass,,75,80,95,90,100,50,490
Ampharos,181,Electric,,90,75,85,115,90,55,510
Flaaffy,180,Electric,,70,55,55,80,60,45,365
Mareep,179,Electric,,55,40,40,65,45,35,280
Xatu,178,Psychic,Flying,65,75,70,95,70,95,470
Natu,177,Psychic,Flying,40,50,45,70,45,70,320
Togetic,176,Fairy,Flying,55,40,85,80,105,40,405
Togepi,175,Fairy,,35,20,65,40,65,20,245
Igglybuff,174,Normal,Fairy,90,30,15,40,20,15,210
Cleffa,173,Fairy,,50,25,28,45,55,15,218
Pichu,172,Electric,,20,40,15,35,35,60,205
Lanturn,171,Water,Electric,125,58,58,76,76,67,460
Chinchou,170,Water,Electric,75,38,38,56,56,67,330
Crobat,169,Poison,Flying,85,90,80,70,80,130,535
Ariados,168,Bug,Poison,70,90,70,60,70,40,400
Spinarak,167,Bug,Poison,40,60,40,40,40,30,250
Ledian,166,Bug,Flying,55,35,50,55,110,85,390
Ledyba,165,Bug,Flying,40,20,30,40,80,55,265
Noctowl,164,Normal,Flying,100,50,50,86,96,70,452
Hoothoot,163,Normal,Flying,60,30,30,36,56,50,262
Furret,162,Normal,,85,76,64,45,55,90,415
Sentret,161,Normal,,35,46,34,35,45,20,215
Feraligatr,160,Water,,85,105,100,79,83,78,530
Croconaw,159,Water,,65,80,80,59,63,58,405
Totodile,158,Water,,50,65,64,44,48,43,314
Typhlosion,157,Fire,,78,84,78,109,85,100,534
Quilava,156,Fire,,58,64,58,80,65,80,405
Cyndaquil,155,Fire,,39,52,43,60,50,65,309
Meganium,154,Grass,,80,82,100,83,100,80,525
Bayleef,153,Grass,,60,62,80,63,80,60,405
Chikorita,152,Grass,,45,49,65,49,65,45,318
Mew,151,Psychic,,100,100,100,100,100,100,600
Mewtwo,150,Psychic,,106,110,90,154,90,130,680
Dragonite,149,Dragon,Flying,91,134,95,100,100,80,600
Dragonair,148,Dragon,,61,84,65,70,70,70,420
Dratini,147,Dragon,,41,64,45,50,50,50,300
Moltres,146,Fire,Flying,90,100,90,125,85,90,580
Articuno,144,Ice,Flying,90,85,100,95,125,85,580
Snorlax,143,Normal,,160,110,65,65,110,30,540
Aerodactyl,142,Rock,Flying,80,105,65,60,75,130,515
Kabutops,141,Rock,Water,60,115,105,65,70,80,495
Zapdos,145,Electric,Flying,90,90,85,125,90,100,580
Kabuto,140,Rock,Water,30,80,90,55,45,55,355
Omastar,139,Rock,Water,70,60,125,115,70,55,495
Omanyte,138,Rock,Water,35,40,100,90,55,35,355
Porygon,137,Normal,,65,60,70,85,75,40,395
Flareon,136,Fire,,65,130,60,95,110,65,525
Jolteon,135,Electric,,65,65,60,110,95,130,525
Vaporeon,134,Water,,130,65,60,110,95,65,525
Eevee,133,Normal,,55,55,50,45,65,55,325
Ditto,132,Normal,,48,48,48,48,48,48,288
Lapras,131,Water,Ice,130,85,80,85,95,60,535
Gyarados,130,Water,Flying,95,125,79,60,100,81,540
Magikarp,129,Water,,20,10,55,15,20,80,200
Tauros,128,Normal,,75,100,95,40,70,110,490
Pinsir,127,Bug,,65,125,100,55,70,85,500
Magmar,126,Fire,,65,95,57,100,85,93,495
Jynx,124,Ice,Psychic,65,50,35,115,95,95,455
Scyther,123,Bug,Flying,70,110,80,55,80,105,500
Mr. Mime,122,Psychic,Fairy,40,45,65,100,120,90,460
Electabuzz,125,Electric,,65,83,57,95,85,105,490
Starmie,121,Water,Psychic,60,75,85,100,85,115,520
Staryu,120,Water,,30,45,55,70,55,85,340
Seaking,119,Water,,80,92,65,65,80,68,450
Goldeen,118,Water,,45,67,60,35,50,63,320
Seadra,117,Water,,55,65,95,95,45,85,440
Horsea,116,Water,,30,40,70,70,25,60,295
Kangaskhan,115,Normal,,105,95,80,40,80,90,490
Tangela,114,Grass,,65,55,115,100,40,60,435
Chansey,113,Normal,,250,5,5,35,105,50,450
Rhydon,112,Ground,Rock,105,130,120,45,45,40,485
Rhyhorn,111,Ground,Rock,80,85,95,30,30,25,345
Weezing,110,Poison,,65,90,120,85,70,60,490
Koffing,109,Poison,,40,65,95,60,45,35,340
Lickitung,108,Normal,,90,55,75,60,75,30,385
Hitmonchan,107,Fighting,,50,105,79,35,110,76,455
Hitmonlee,106,Fighting,,50,120,53,35,110,87,455
Marowak,105,Ground,,60,80,110,50,80,45,425
Cubone,104,Ground,,50,50,95,40,50,35,320
Exeggutor,103,Grass,Psychic,95,95,85,125,75,55,530
Exeggcute,102,Grass,Psychic,60,40,80,60,45,40,325
Electrode,101,Electric,,60,50,70,80,80,150,490
Voltorb,100,Electric,,40,30,50,55,55,100,330
Kingler,099,Water,,55,130,115,50,50,75,475
Hypno,097,Psychic,,85,73,70,73,115,67,483
Drowzee,096,Psychic,,60,48,45,43,90,42,328
Onix,095,Rock,Ground,35,45,160,30,45,70,385
Gengar,094,Ghost,Poison,60,65,60,130,75,110,500
Krabby,098,Water,,30,105,90,25,25,50,325
Haunter,093,Ghost,Poison,45,50,45,115,55,95,405
Gastly,092,Ghost,Poison,30,35,30,100,35,80,310
Cloyster,091,Water,Ice,50,95,180,85,45,70,525
Shellder,090,Water,,30,65,100,45,25,40,305
Muk,089,Poison,,105,105,75,65,100,50,500
Grimer,088,Poison,,80,80,50,40,50,25,325
Dewgong,087,Water,Ice,90,70,80,70,95,70,475
Dodrio,085,Normal,Flying,60,110,70,60,60,110,470
Doduo,084,Normal,Flying,35,85,45,35,35,75,310
Farfetch'd,083,Normal,Flying,52,90,55,58,62,60,377
Seel,086,Water,,65,45,55,45,70,45,325
Magneton,082,Electric,Steel,50,60,95,120,70,70,465
Magnemite,081,Electric,Steel,25,35,70,95,55,45,325
Slowbro,080,Water,Psychic,95,75,110,100,80,30,490
Slowpoke,079,Water,Psychic,90,65,65,40,40,15,315
Rapidash,078,Fire,,65,100,70,80,80,105,500
Ponyta,077,Fire,,50,85,55,65,65,90,410
Golem,076,Rock,Ground,80,120,130,55,65,45,495
Graveler,075,Rock,Ground,55,95,115,45,45,35,390
Tentacruel,073,Water,Poison,80,70,65,80,120,100,515
Tentacool,072,Water,Poison,40,40,35,50,100,70,335
Victreebel,071,Grass,Poison,80,105,65,100,70,70,490
Weepinbell,070,Grass,Poison,65,90,50,85,45,55,390
Machamp,068,Fighting,,90,130,80,65,85,55,505
Machoke,067,Fighting,,80,100,70,50,60,45,405
Machop,066,Fighting,,70,80,50,35,35,35,305
Bellsprout,069,Grass,Poison,50,75,35,70,30,40,300
Alakazam,065,Psychic,,55,50,45,135,95,120,500
Kadabra,064,Psychic,,40,35,30,120,70,105,400
Abra,063,Psychic,,25,20,15,105,55,90,310
Poliwrath,062,Water,Fighting,90,95,95,70,90,70,510
Poliwhirl,061,Water,,65,65,65,50,50,90,385
Poliwag,060,Water,,40,50,40,40,40,90,300
Arcanine,059,Fire,,90,110,80,100,80,95,555
Growlithe,058,Fire,,55,70,45,70,50,60,350
Primeape,057,Fighting,,65,105,60,60,70,95,455
Mankey,056,Fighting,,40,80,35,35,45,70,305
Golduck,055,Water,,80,82,78,95,80,85,500
Psyduck,054,Water,,50,52,48,65,50,55,320
Persian,053,Normal,,65,70,60,65,65,115,440
Meowth,052,Normal,,40,45,35,40,40,90,290
Dugtrio,051,Ground,,35,100,50,50,70,120,425
Diglett,050,Ground,,10,55,25,35,45,95,265
Venomoth,049,Bug,Poison,70,65,60,90,75,90,450
Venonat,048,Bug,Poison,60,55,50,40,55,45,305
Parasect,047,Bug,Grass,60,95,80,60,80,30,405
Paras,046,Bug,Grass,35,70,55,45,55,25,285
Vileplume,045,Grass,Poison,75,80,85,110,90,50,490
Gloom,044,Grass,Poison,60,65,70,85,75,40,395
Oddish,043,Grass,Poison,45,50,55,75,65,30,320
Golbat,042,Poison,Flying,75,80,70,65,75,90,455
Zubat,041,Poison,Flying,40,45,35,30,40,55,245
Wigglytuff,040,Normal,Fairy,140,70,45,85,50,45,435
Jigglypuff,039,Normal,Fairy,115,45,20,45,25,20,270
Vulpix,037,Fire,,38,41,40,50,65,65,299
Clefable,036,Fairy,,95,70,73,95,90,60,483
Ninetales,038,Fire,,73,76,75,81,100,100,505
Clefairy,035,Fairy,,70,45,48,60,65,35,323
Nidorino,033,Poison,,61,72,57,55,55,65,365
Nidoqueen,031,Poison,Ground,90,92,87,75,85,76,505
Nidoking,034,Poison,Ground,81,102,77,85,75,85,505
Nidorina,030,Poison,,70,62,67,55,55,56,365
